"","age","status","Number","Simul","regID","regNV","startV","vPerD","vpd","vo","acceptV","effV","totalvac"
"329018",5,"allD",15,19,"AL",249986,10,5140,10,1,0,0.9,5134839.2
"329118",6,"allD",20,19,"AL",249986,10,5140,10,1,0,0.9,5134839.2
"329218",7,"allD",17,19,"AL",249986,10,5140,10,1,0,0.9,5134839.2
"328619",1,"allD",0,20,"AL",249986,10,5140,10,1,0,0.9,5134839.2
"328719",2,"allD",2,20,"AL",249986,10,5140,10,1,0,0.9,5134839.2
"328819",3,"allD",2,20,"AL",249986,10,5140,10,1,0,0.9,5134839.2
"328919",4,"allD",7,20,"AL",249986,10,5140,10,1,0,0.9,5134839.2
"329019",5,"allD",7,20,"AL",249986,10,5140,10,1,0,0.9,5134839.2
"329119",6,"allD",13,20,"AL",249986,10,5140,10,1,0,0.9,5134839.2
"329219",7,"allD",16,20,"AL",249986,10,5140,10,1,0,0.9,5134839.2
"328620",1,"allD",0,21,"AL",249986,10,5140,10,1,0,0.9,5134839.2
"328720",2,"allD",2,21,"AL",249986,10,5140,10,1,0,0.9,5134839.2
"328820",3,"allD",4,21,"AL",249986,10,5140,10,1,0,0.9,5134839.2
"328920",4,"allD",21,21,"AL",249986,10,5140,10,1,0,0.9,5134839.2
"329020",5,"allD",13,21,"AL",249986,10,5140,10,1,0,0.9,5134839.2
"329120",6,"allD",11,21,"AL",249986,10,5140,10,1,0,0.9,5134839.2
"329220",7,"allD",18,21,"AL",249986,10,5140,10,1,0,0.9,5134839.2
"328621",1,"allD",0,22,"AL",249986,10,5140,10,1,0,0.9,5134839.2
"328721",2,"allD",1,22,"AL",249986,10,5140,10,1,0,0.9,5134839.2
"328821",3,"allD",2,22,"AL",249986,10,5140,10,1,0,0.9,5134839.2
"328921",4,"allD",7,22,"AL",249986,10,5140,10,1,0,0.9,5134839.2
"329021",5,"allD",8,22,"AL",249986,10,5140,10,1,0,0.9,5134839.2
"329121",6,"allD",9,22,"AL",249986,10,5140,10,1,0,0.9,5134839.2
"329221",7,"allD",16,22,"AL",249986,10,5140,10,1,0,0.9,5134839.2
"328622",1,"allD",0,23,"AL",249986,10,5140,10,1,0,0.9,5134839.2
"328722",2,"allD",0,23,"AL",249986,10,5140,10,1,0,0.9,5134839.2
"328822",3,"allD",3,23,"AL",249986,10,5140,10,1,0,0.9,5134839.2
"328922",4,"allD",14,23,"AL",249986,10,5140,10,1,0,0.9,5134839.2
"329022",5,"allD",20,23,"AL",249986,10,5140,10,1,0,0.9,5134839.2
"329122",6,"allD",12,23,"AL",249986,10,5140,10,1,0,0.9,5134839.2
"329222",7,"allD",20,23,"AL",249986,10,5140,10,1,0,0.9,5134839.2
"328623",1,"allD",1,24,"AL",249986,10,5140,10,1,0,0.9,5134839.2
"328723",2,"allD",2,24,"AL",249986,10,5140,10,1,0,0.9,5134839.2
"328823",3,"allD",7,24,"AL",249986,10,5140,10,1,0,0.9,5134839.2
"328923",4,"allD",16,24,"AL",249986,10,5140,10,1,0,0.9,5134839.2
"329023",5,"allD",17,24,"AL",249986,10,5140,10,1,0,0.9,5134839.2
"329123",6,"allD",11,24,"AL",249986,10,5140,10,1,0,0.9,5134839.2
"329223",7,"allD",21,24,"AL",249986,10,5140,10,1,0,0.9,5134839.2
"328624",1,"allD",0,25,"AL",249986,10,5140,10,1,0,0.9,5134839.2
"328724",2,"allD",4,25,"AL",249986,10,5140,10,1,0,0.9,5134839.2
"328824",3,"allD",5,25,"AL",249986,10,5140,10,1,0,0.9,5134839.2
"328924",4,"allD",8,25,"AL",249986,10,5140,10,1,0,0.9,5134839.2
"329024",5,"allD",6,25,"AL",249986,10,5140,10,1,0,0.9,5134839.2
"329124",6,"allD",9,25,"AL",249986,10,5140,10,1,0,0.9,5134839.2
"329224",7,"allD",13,25,"AL",249986,10,5140,10,1,0,0.9,5134839.2
"328625",1,"allD",0,26,"AL",249986,10,5140,10,1,0,0.9,5134839.2
"328725",2,"allD",0,26,"AL",249986,10,5140,10,1,0,0.9,5134839.2
"328825",3,"allD",7,26,"AL",249986,10,5140,10,1,0,0.9,5134839.2
"328925",4,"allD",10,26,"AL",249986,10,5140,10,1,0,0.9,5134839.2
"329025",5,"allD",6,26,"AL",249986,10,5140,10,1,0,0.9,5134839.2
"329125",6,"allD",20,26,"AL",249986,10,5140,10,1,0,0.9,5134839.2
"329225",7,"allD",21,26,"AL",249986,10,5140,10,1,0,0.9,5134839.2
"328626",1,"allD",0,27,"AL",249986,10,5140,10,1,0,0.9,5134839.2
"328726",2,"allD",3,27,"AL",249986,10,5140,10,1,0,0.9,5134839.2
"328826",3,"allD",7,27,"AL",249986,10,5140,10,1,0,0.9,5134839.2
"328926",4,"allD",8,27,"AL",249986,10,5140,10,1,0,0.9,5134839.2
"329026",5,"allD",8,27,"AL",249986,10,5140,10,1,0,0.9,5134839.2
"329126",6,"allD",11,27,"AL",249986,10,5140,10,1,0,0.9,5134839.2
"329226",7,"allD",26,27,"AL",249986,10,5140,10,1,0,0.9,5134839.2
"328627",1,"allD",0,28,"AL",249986,10,5140,10,1,0,0.9,5134839.2
"328727",2,"allD",1,28,"AL",249986,10,5140,10,1,0,0.9,5134839.2
"328827",3,"allD",7,28,"AL",249986,10,5140,10,1,0,0.9,5134839.2
"328927",4,"allD",13,28,"AL",249986,10,5140,10,1,0,0.9,5134839.2
"329027",5,"allD",16,28,"AL",249986,10,5140,10,1,0,0.9,5134839.2
"329127",6,"allD",14,28,"AL",249986,10,5140,10,1,0,0.9,5134839.2
"329227",7,"allD",11,28,"AL",249986,10,5140,10,1,0,0.9,5134839.2
"328628",1,"allD",0,29,"AL",249986,10,5140,10,1,0,0.9,5134839.2
"328728",2,"allD",3,29,"AL",249986,10,5140,10,1,0,0.9,5134839.2
"328828",3,"allD",8,29,"AL",249986,10,5140,10,1,0,0.9,5134839.2
"328928",4,"allD",6,29,"AL",249986,10,5140,10,1,0,0.9,5134839.2
"329028",5,"allD",8,29,"AL",249986,10,5140,10,1,0,0.9,5134839.2
"329128",6,"allD",15,29,"AL",249986,10,5140,10,1,0,0.9,5134839.2
"329228",7,"allD",16,29,"AL",249986,10,5140,10,1,0,0.9,5134839.2
"328629",1,"allD",0,30,"AL",249986,10,5140,10,1,0,0.9,5134839.2
"328729",2,"allD",1,30,"AL",249986,10,5140,10,1,0,0.9,5134839.2
"328829",3,"allD",4,30,"AL",249986,10,5140,10,1,0,0.9,5134839.2
"328929",4,"allD",12,30,"AL",249986,10,5140,10,1,0,0.9,5134839.2
"329029",5,"allD",4,30,"AL",249986,10,5140,10,1,0,0.9,5134839.2
"329129",6,"allD",15,30,"AL",249986,10,5140,10,1,0,0.9,5134839.2
"329229",7,"allD",21,30,"AL",249986,10,5140,10,1,0,0.9,5134839.2
"328630",1,"allD",0,1,"AM",167423,10,3400,10,1,0,0.9,5134839.2
"328730",2,"allD",1,1,"AM",167423,10,3400,10,1,0,0.9,5134839.2
"328830",3,"allD",3,1,"AM",167423,10,3400,10,1,0,0.9,5134839.2
"328930",4,"allD",12,1,"AM",167423,10,3400,10,1,0,0.9,5134839.2
"329030",5,"allD",6,1,"AM",167423,10,3400,10,1,0,0.9,5134839.2
"329130",6,"allD",7,1,"AM",167423,10,3400,10,1,0,0.9,5134839.2
"329230",7,"allD",19,1,"AM",167423,10,3400,10,1,0,0.9,5134839.2
"328631",1,"allD",0,2,"AM",167423,10,3400,10,1,0,0.9,5134839.2
"328731",2,"allD",2,2,"AM",167423,10,3400,10,1,0,0.9,5134839.2
"328831",3,"allD",4,2,"AM",167423,10,3400,10,1,0,0.9,5134839.2
"328931",4,"allD",6,2,"AM",167423,10,3400,10,1,0,0.9,5134839.2
"329031",5,"allD",5,2,"AM",167423,10,3400,10,1,0,0.9,5134839.2
"329131",6,"allD",10,2,"AM",167423,10,3400,10,1,0,0.9,5134839.2
"329231",7,"allD",22,2,"AM",167423,10,3400,10,1,0,0.9,5134839.2
"328632",1,"allD",0,3,"AM",167423,10,3400,10,1,0,0.9,5134839.2
"328732",2,"allD",2,3,"AM",167423,10,3400,10,1,0,0.9,5134839.2
"328832",3,"allD",1,3,"AM",167423,10,3400,10,1,0,0.9,5134839.2
"328932",4,"allD",5,3,"AM",167423,10,3400,10,1,0,0.9,5134839.2
"329032",5,"allD",2,3,"AM",167423,10,3400,10,1,0,0.9,5134839.2
"329132",6,"allD",12,3,"AM",167423,10,3400,10,1,0,0.9,5134839.2
"329232",7,"allD",18,3,"AM",167423,10,3400,10,1,0,0.9,5134839.2
