"","age","status","Number","Simul","regID","regNV","startV","vPerD","vpd","vo","acceptV","effV","totalvac"
"328918",4,"allD",8,1,"AL",116701,10,2056,4,5,0,0.9,2567419.6
"329018",5,"allD",13,1,"AL",116701,10,2056,4,5,0,0.9,2567419.6
"329118",6,"allD",13,1,"AL",116701,10,2056,4,5,0,0.9,2567419.6
"329218",7,"allD",20,1,"AL",116701,10,2056,4,5,0,0.9,2567419.6
"328619",1,"allD",0,1,"AL",116701,10,2056,4,5,0.7,0.9,2567419.6
"328719",2,"allD",1,1,"AL",116701,10,2056,4,5,0.7,0.9,2567419.6
"328819",3,"allD",6,1,"AL",116701,10,2056,4,5,0.7,0.9,2567419.6
"328919",4,"allD",13,1,"AL",116701,10,2056,4,5,0.7,0.9,2567419.6
"329019",5,"allD",11,1,"AL",116701,10,2056,4,5,0.7,0.9,2567419.6
"329119",6,"allD",4,1,"AL",116701,10,2056,4,5,0.7,0.9,2567419.6
"329219",7,"allD",0,1,"AL",116701,10,2056,4,5,0.7,0.9,2567419.6
"328620",1,"allD",0,1,"AL",124993,10,3084,6,1,0,0.9,2567419.6
"328720",2,"allD",0,1,"AL",124993,10,3084,6,1,0,0.9,2567419.6
"328820",3,"allD",4,1,"AL",124993,10,3084,6,1,0,0.9,2567419.6
"328920",4,"allD",8,1,"AL",124993,10,3084,6,1,0,0.9,2567419.6
"329020",5,"allD",13,1,"AL",124993,10,3084,6,1,0,0.9,2567419.6
"329120",6,"allD",13,1,"AL",124993,10,3084,6,1,0,0.9,2567419.6
"329220",7,"allD",20,1,"AL",124993,10,3084,6,1,0,0.9,2567419.6
"328621",1,"allD",0,1,"AL",124993,10,3084,6,1,0.7,0.9,2567419.6
"328721",2,"allD",2,1,"AL",124993,10,3084,6,1,0.7,0.9,2567419.6
"328821",3,"allD",3,1,"AL",124993,10,3084,6,1,0.7,0.9,2567419.6
"328921",4,"allD",8,1,"AL",124993,10,3084,6,1,0.7,0.9,2567419.6
"329021",5,"allD",7,1,"AL",124993,10,3084,6,1,0.7,0.9,2567419.6
"329121",6,"allD",5,1,"AL",124993,10,3084,6,1,0.7,0.9,2567419.6
"329221",7,"allD",0,1,"AL",124993,10,3084,6,1,0.7,0.9,2567419.6
"328622",1,"allD",0,1,"AL",127500,10,3084,6,2,0,0.9,2567419.6
"328722",2,"allD",0,1,"AL",127500,10,3084,6,2,0,0.9,2567419.6
"328822",3,"allD",4,1,"AL",127500,10,3084,6,2,0,0.9,2567419.6
"328922",4,"allD",8,1,"AL",127500,10,3084,6,2,0,0.9,2567419.6
"329022",5,"allD",13,1,"AL",127500,10,3084,6,2,0,0.9,2567419.6
"329122",6,"allD",13,1,"AL",127500,10,3084,6,2,0,0.9,2567419.6
"329222",7,"allD",20,1,"AL",127500,10,3084,6,2,0,0.9,2567419.6
"328623",1,"allD",1,1,"AL",127500,10,3084,6,2,0.7,0.9,2567419.6
"328723",2,"allD",1,1,"AL",127500,10,3084,6,2,0.7,0.9,2567419.6
"328823",3,"allD",4,1,"AL",127500,10,3084,6,2,0.7,0.9,2567419.6
"328923",4,"allD",8,1,"AL",127500,10,3084,6,2,0.7,0.9,2567419.6
"329023",5,"allD",9,1,"AL",127500,10,3084,6,2,0.7,0.9,2567419.6
"329123",6,"allD",1,1,"AL",127500,10,3084,6,2,0.7,0.9,2567419.6
"329223",7,"allD",0,1,"AL",127500,10,3084,6,2,0.7,0.9,2567419.6
"328624",1,"allD",0,1,"AL",86430,10,3084,6,3,0,0.9,2567419.6
"328724",2,"allD",0,1,"AL",86430,10,3084,6,3,0,0.9,2567419.6
"328824",3,"allD",4,1,"AL",86430,10,3084,6,3,0,0.9,2567419.6
"328924",4,"allD",8,1,"AL",86430,10,3084,6,3,0,0.9,2567419.6
"329024",5,"allD",13,1,"AL",86430,10,3084,6,3,0,0.9,2567419.6
